head,source,in_channels,param_count,n_trials,best_val_acc,best_lr,best_wd,best_dropout,test_acc_mean,test_acc_std,test_auc_mean,test_auc_std,test_f1_mean,test_f1_std
cnn_small,analog_z_1k,9,1954,30,0.9694656729698181,0.0014351754393372145,2.029536243043472e-06,0.5463704234005188,0.8527243589743589,0.012749200707178714,0.9478292789831251,0.0045736801055855595,0.8279776176623035,0.016810337361418164
cnn_large,analog_z_1k,9,20098,30,0.9770992398262024,0.0022084677123224276,1.86193760637803e-07,0.3627167741081108,0.8548076923076924,0.015754109906980146,0.9502870918255534,0.008180093264260665,0.8297122284156687,0.02108906390625195
linear,analog_zz_1k,45,7292,30,0.9694656729698181,0.002122134615945621,8.945186584470136e-05,0.45591971274447773,0.8554487179487179,0.007195494974565294,0.9376988823142669,0.0034200024097689853,0.8323913650865766,0.009730250188748695
mlp1,analog_zz_1k,45,116738,30,0.9713740348815918,0.0003412991695226882,0.0004246031301768212,0.04972524073852086,0.8600961538461538,0.0074497687815189,0.9482801884724961,0.0038609451906159932,0.8381617365953458,0.009819750806330513
mlp2,analog_zz_1k,45,235490,30,0.9694656729698181,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.8626602564102563,0.009749334086060997,0.9438225947841332,0.0033553180299812566,0.8416896439442436,0.012891938319349974
cnn_small,analog_zz_1k,45,4258,30,0.9713740348815918,0.00010836702671749564,9.091283280651455e-05,0.3702264438270331,0.8514423076923077,0.005868536353718122,0.9430528161297392,0.00380951689148316,0.8262993990386424,0.008128165624289094
cnn_large,analog_zz_1k,45,29314,30,0.9732824563980103,0.0003028525153605888,3.7665768415992944e-05,0.4219343632501507,0.8551282051282051,0.012784404278960987,0.9489475126013586,0.0032515056861074027,0.8303462077318567,0.016898569459238347
linear,digital_zz_4k,180,29162,30,0.9656488299369812,0.0012595683215364752,0.00022390342721683693,0.6850328395629348,0.8625,0.011618313436148631,0.9369175980714441,0.006750320004337842,0.8413602667574194,0.015659015877476035
mlp1,digital_zz_4k,180,466658,30,0.9694656729698181,0.0006427838267389011,5.899987639567107e-06,0.2806991002964653,0.8653846153846153,0.008951435925492917,0.9403911900065746,0.00232630362855486,0.8453058796855366,0.011798957678420681
mlp2,digital_zz_4k,180,935330,30,0.9751908183097839,0.00016720307795137733,1.602531351009094e-05,0.3426553011162442,0.8552884615384615,0.009345848276809843,0.9470397764628535,0.0031732977510014805,0.8310898926701855,0.012228311560115683
cnn_small,digital_zz_4k,180,12898,30,0.9751908183097839,0.0004984058285616407,1.5688137370694642e-07,0.5754966001797779,0.8538461538461538,0.00933897582329069,0.956892943239097,0.003641011198580533,0.8283660206123169,0.01276405453492208
cnn_large,digital_zz_4k,180,63874,30,0.9790076613426208,0.003545137393575341,4.066695065393837e-06,0.2902633579933665,0.8556089743589743,0.012193185616427718,0.9511560376944992,0.005290591454795402,0.8309669074496625,0.016297078851613953
linear,analog_zz_4k,180,29162,30,0.9637404680252075,2.0855428995650543e-05,1.5834527427829724e-05,0.10034730118633248,0.8432692307692307,0.0049550079595321326,0.9351457374534297,0.0008557355908289235,0.8157716184344276,0.006350237591549003
mlp1,analog_zz_4k,180,466658,30,0.9675572514533997,9.157704371691997e-05,6.536185560481619e-05,0.4066101388187655,0.8514423076923077,0.007518400067781979,0.9404207758053913,0.002658382850405031,0.826293197377792,0.010522704708112509
mlp2,analog_zz_4k,180,935330,30,0.9732824563980103,0.00049117136406662,5.10797710569084e-05,0.20858966078865185,0.8426282051282052,0.0075098554576025255,0.9428626999780846,0.003509343727471748,0.8147264866123127,0.010165087757206238
cnn_small,analog_zz_4k,180,12898,30,0.9790076613426208,0.004851775569965489,1.426976457959116e-08,0.16468030777796333,0.8487179487179487,0.009647382655956663,0.9493041858426473,0.003648741604014542,0.8217046163619754,0.014013391292159009
cnn_large,analog_zz_4k,180,63874,30,0.9770992398262024,0.0012595683215364752,0.00022390342721683693,0.6850328395629348,0.8573717948717947,0.008357951801541868,0.957055117247425,0.002639965258312736,0.831998167077554,0.011342728019702611
