head,source,seed,val_acc,val_loss,test_acc,test_auc,test_f1
linear,random_180,2,0.807692289352417,0.4385386109352112,0.6987179487179487,0.818922305764411,0.6786324786324787
linear,random_180,3,0.7948718070983887,0.46111932396888733,0.717948717948718,0.8306182121971595,0.695906432748538
linear,random_180,4,0.8461538553237915,0.4587010145187378,0.7371794871794872,0.8130743525480368,0.7155689954195757
linear,random_180,5,0.807692289352417,0.47324851155281067,0.6858974358974359,0.8243525480367586,0.6671746418774764
linear,random_180,6,0.7948718070983887,0.45644399523735046,0.7371794871794872,0.8178780284043441,0.7155689954195757
linear,random_180,7,0.8846153616905212,0.4451006352901459,0.7243589743589743,0.8122389306599833,0.699341132176953
linear,random_180,8,0.8461538553237915,0.4598739743232727,0.7243589743589743,0.8222639933166249,0.7016943122693111
linear,random_180,9,0.8717948794364929,0.4631069004535675,0.7307692307692307,0.8093149540517961,0.7051305130513051
mlp1,random_180,0,0.8974359035491943,0.65742427110672,0.7884615384615384,0.83312447786132,0.7440206851971558
mlp1,random_180,1,0.8717948794364929,0.6102942824363708,0.8141025641025641,0.8361528822055136,0.7582170915504249
mlp1,random_180,2,0.8205128312110901,0.5393831729888916,0.782051282051282,0.8237259816207185,0.7042818911685995
mlp1,random_180,3,0.8205128312110901,0.6070239543914795,0.7948717948717948,0.8230994152046783,0.7353128313891835
mlp1,random_180,4,0.8717948794364929,0.5287594795227051,0.7692307692307693,0.8365705931495405,0.7110516567194896
mlp1,random_180,5,0.8461538553237915,0.6352867484092712,0.8012820512820513,0.8296783625730995,0.7372738632042157
mlp1,random_180,6,0.8461538553237915,0.5478461980819702,0.8012820512820513,0.829469507101086,0.7228176763913567
mlp1,random_180,7,0.8461538553237915,0.5709840655326843,0.8076923076923077,0.8230994152046782,0.7390722569134701
mlp1,random_180,8,0.8333333134651184,0.6237832903862,0.7628205128205128,0.7982456140350878,0.6963224075340664
mlp1,random_180,9,0.8333333134651184,0.635979175567627,0.782051282051282,0.8191311612364244,0.6930555555555555
mlp2,random_180,0,0.8333333134651184,0.3803400695323944,0.8141025641025641,0.8732247284878863,0.7301842905707641
mlp2,random_180,1,0.8589743375778198,0.3846375048160553,0.7756410256410257,0.8086883876357561,0.6743603506888531
mlp2,random_180,2,0.8333333134651184,0.4346235692501068,0.8269230769230769,0.8715538847117795,0.7672285161646863
mlp2,random_180,3,0.8461538553237915,0.37078171968460083,0.8205128205128205,0.8717627401837927,0.7367405978784957
mlp2,random_180,4,0.8205128312110901,0.4349967837333679,0.7948717948717948,0.7748538011695907,0.6416881998277347
mlp2,random_180,5,0.8461538553237915,0.3894108235836029,0.8141025641025641,0.8540100250626567,0.7454852320675105
mlp2,random_180,6,0.8589743375778198,0.3925859034061432,0.782051282051282,0.8352130325814537,0.7042818911685995
mlp2,random_180,7,0.8333333134651184,0.40539470314979553,0.8012820512820513,0.8270676691729324,0.711576310610127
mlp2,random_180,8,0.8846153616905212,0.37259435653686523,0.8076923076923077,0.8508771929824561,0.7117516629711751
mlp2,random_180,9,0.8205128312110901,0.4437962472438812,0.7756410256410257,0.7919799498746867,0.5763172189027702
cnn_small,random_180,0,0.9102563858032227,0.30851274728775024,0.8461538461538461,0.8803258145363408,0.787417669770611
cnn_small,random_180,1,0.9358974099159241,0.2801232635974884,0.8525641025641025,0.9091478696741854,0.790310326690433
cnn_small,random_180,2,0.9230769276618958,0.2646067440509796,0.8653846153846154,0.9116541353383458,0.8189555125725339
cnn_small,random_180,3,0.9102563858032227,0.30612945556640625,0.8653846153846154,0.902046783625731,0.7959514170040486
cnn_small,random_180,4,0.9102563858032227,0.24859581887722015,0.8782051282051282,0.898078529657477,0.8301140597237346
cnn_small,random_180,5,0.8974359035491943,0.2751498818397522,0.8717948717948718,0.8882623224728488,0.8260481712756467
cnn_small,random_180,6,0.9102563858032227,0.28719770908355713,0.8397435897435898,0.8723893065998329,0.7805907172995781
cnn_small,random_180,7,0.9358974099159241,0.24741297960281372,0.8589743589743589,0.8970342522974102,0.8051328639563934
cnn_small,random_180,8,0.8974359035491943,0.29880478978157043,0.8461538461538461,0.8819966583124478,0.7912578055307762
cnn_small,random_180,9,0.8717948794364929,0.3369036912918091,0.8333333333333334,0.8857560568086884,0.7605667060212515
cnn_large,random_180,0,0.8974359035491943,0.3122636675834656,0.8397435897435898,0.8916040100250627,0.7805907172995781
cnn_large,random_180,1,0.9102563858032227,0.28508874773979187,0.8589743589743589,0.8886800334168755,0.8013888888888889
cnn_large,random_180,2,0.9102563858032227,0.3041061460971832,0.8333333333333334,0.8627819548872181,0.7697024755848285
cnn_large,random_180,3,0.8974359035491943,0.27329516410827637,0.8333333333333334,0.9068504594820385,0.7738626226583407
cnn_large,random_180,4,0.8974359035491943,0.3303179442882538,0.8205128205128205,0.8884711779448622,0.7564674397859055
cnn_large,random_180,5,0.9102563858032227,0.3024277687072754,0.8333333333333334,0.8782372598162071,0.7652777777777777
cnn_large,random_180,6,0.8846153616905212,0.3196125626564026,0.8269230769230769,0.8882623224728488,0.7672285161646863
cnn_large,random_180,7,0.9102563858032227,0.27421268820762634,0.8589743589743589,0.9032999164578112,0.8086529884032114
cnn_large,random_180,8,0.9102563858032227,0.29013752937316895,0.8461538461538461,0.8947368421052633,0.7833333333333333
cnn_large,random_180,9,0.9102563858032227,0.3118525743484497,0.8525641025641025,0.8807435254803676,0.794348598612942
linear,analog_z_1k,0,0.8333333134651184,0.3912200331687927,0.7692307692307693,0.8260233918128657,0.706766917293233
linear,analog_z_1k,1,0.7692307829856873,0.4239189922809601,0.7628205128205128,0.8026315789473685,0.6963224075340664
linear,analog_z_1k,2,0.7948718070983887,0.42777448892593384,0.7756410256410257,0.8065998329156224,0.7285067873303168
linear,analog_z_1k,3,0.8205128312110901,0.4020838737487793,0.7564102564102564,0.8097326649958229,0.6992694805194806
linear,analog_z_1k,4,0.7820512652397156,0.36054426431655884,0.7884615384615384,0.8444026733500418,0.7370114942528736
linear,analog_z_1k,5,0.807692289352417,0.43156692385673523,0.7884615384615384,0.822890559732665,0.7291524175303836
linear,analog_z_1k,6,0.7948718070983887,0.42499297857284546,0.7948717948717948,0.7976190476190477,0.7310344827586206
linear,analog_z_1k,7,0.807692289352417,0.3916384279727936,0.7692307692307693,0.7980367585630743,0.706766917293233
linear,analog_z_1k,8,0.7948718070983887,0.40232130885124207,0.75,0.7965747702589808,0.6846851515936772
linear,analog_z_1k,9,0.807692289352417,0.42113417387008667,0.782051282051282,0.8233082706766918,0.7309253246753247
mlp1,analog_z_1k,0,0.8846153616905212,0.3560181260108948,0.782051282051282,0.855263157894737,0.6930555555555555
mlp1,analog_z_1k,1,0.8717948794364929,0.35580456256866455,0.8205128205128205,0.8594402673350041,0.751987281399046
mlp1,analog_z_1k,2,0.8589743375778198,0.35767892003059387,0.8012820512820513,0.870718462823726,0.7228176763913567
mlp1,analog_z_1k,3,0.8717948794364929,0.3480730950832367,0.8012820512820513,0.8577694235588972,0.7173747881479751
mlp1,analog_z_1k,4,0.8717948794364929,0.3933987617492676,0.782051282051282,0.8402255639097745,0.6733185513673319
mlp1,analog_z_1k,5,0.8461538553237915,0.38700151443481445,0.7884615384615384,0.8469089390142021,0.6991409035123605
mlp1,analog_z_1k,6,0.8717948794364929,0.3561914563179016,0.7884615384615384,0.8412698412698413,0.6991409035123605
mlp1,analog_z_1k,7,0.8333333134651184,0.35385119915008545,0.7948717948717948,0.8586048454469507,0.7111111111111111
mlp1,analog_z_1k,8,0.8333333134651184,0.3899335265159607,0.7948717948717948,0.8379281537176274,0.6991321118611379
mlp1,analog_z_1k,9,0.8589743375778198,0.39161211252212524,0.7756410256410257,0.865079365079365,0.6928270042194093
mlp2,analog_z_1k,0,0.8333333134651184,0.3732118010520935,0.7884615384615384,0.842314118629908,0.6718301778542742
mlp2,analog_z_1k,1,0.8589743375778198,0.37840867042541504,0.7948717948717948,0.8358395989974937,0.6779354838709677
mlp2,analog_z_1k,2,0.8461538553237915,0.38985827565193176,0.8141025641025641,0.8529657477025898,0.7116083381143622
mlp2,analog_z_1k,3,0.8717948794364929,0.3859289884567261,0.8076923076923077,0.8391812865497077,0.7117516629711751
