rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
176,4,0.958015,64,relu,0.41853,9.69585,1.30523e-05,80,True,8.39986e-08,80.5
177,5,0.958015,16,relu,0.098647,8.28738,1.64082e-06,40,False,2.27376e-07,152.5
178,11,0.958015,64,gelu,0.241702,0.0896165,0.000292336,10,False,1.80876e-06,21.1
179,51,0.958015,16,gelu,0.300036,4.67385,0.00157959,30,True,8.67851e-06,87.7
180,32,0.956107,64,gelu,0.273155,3.81082,0.000489643,15,False,1.71597e-05,22.2
181,42,0.956107,64,gelu,0.57349,6.74181,0.000115313,15,False,0.000443156,46.5
182,13,0.954198,64,gelu,0.31958,1.94579,9.93707e-05,30,False,7.69706e-06,55.4
183,149,0.954198,16,gelu,0.394216,7.95735,9.54226e-06,60,True,0.000140326,168.8
184,30,0.950382,32,gelu,0.066501,7.87837,3.63862e-06,15,False,1.15523e-05,105.6
185,48,0.950382,64,relu,0.0687787,2.44334,0.000407757,10,False,2.16166e-05,17.6
186,2,0.946565,32,relu,0.425281,1.99674,3.9731e-06,55,True,8.43101e-05,102.8
187,45,0.946565,64,gelu,0.401628,3.94937,4.56813e-06,25,True,0.000109403,82.3
188,117,0.942748,16,gelu,0.332881,8.36426,1.88748e-06,50,True,2.90393e-06,170.0
189,3,0.938931,16,relu,0.024072,6.84233,5.44484e-07,50,False,3.07865e-08,158.4
190,46,0.938931,64,gelu,0.554833,7.76015,0.000279773,20,False,0.000837963,42.4
191,74,0.931298,16,relu,0.345205,9.55759,8.73216e-07,70,True,6.3068e-07,164.5
192,0,0.917939,64,relu,0.0406585,7.31994,1.36299e-06,65,True,0.000566985,82.3
193,10,0.895038,64,gelu,0.635365,4.29977,0.00237353,95,False,6.85045e-06,79.4
194,7,0.847328,32,gelu,0.083716,7.29606,5.91942e-07,70,True,4.22587e-07,100.5
195,118,0.776718,16,gelu,0.371299,8.86986,2.40745e-07,45,True,1.63634e-06,161.1
196,44,0.750000,64,gelu,0.625434,5.0783,1.02829e-07,15,False,7.78853e-06,82.3
197,9,0.725191,32,relu,0.443383,2.89751,2.01332e-07,25,True,2.42605e-08,101.6
198,70,0.717557,16,relu,0.458009,8.91768,2.62033e-08,60,True,4.38018e-07,165.3
199,40,0.702290,16,gelu,0.149367,9.98641,1.05762e-08,45,False,2.34507e-06,166.9
200,6,0.675573,16,gelu,0.250926,7.06857,1.07515e-08,75,True,0.000119483,155.7
