rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
91,34,0.971374,64,relu,0.545464,3.57611,0.00335825,35,True,3.28611e-07,102.9
92,55,0.971374,32,gelu,0.317694,9.73836,8.41773e-05,85,False,9.72949e-07,131.1
93,60,0.971374,64,gelu,0.12789,4.80493,0.00227464,90,False,2.10698e-07,97.0
94,62,0.971374,64,gelu,0.292574,5.87576,0.000859182,20,False,2.41409e-06,61.5
95,87,0.971374,64,relu,0.530923,7.3673,0.000195155,95,False,8.67565e-07,99.0
96,91,0.971374,64,gelu,0.683593,9.27705,0.00123287,95,True,4.0304e-08,98.4
97,103,0.971374,64,gelu,0.349622,8.97269,0.00086228,90,True,1.30818e-08,99.6
98,106,0.971374,64,relu,0.5161,9.99107,0.00124432,95,True,2.86105e-08,98.2
99,114,0.971374,64,gelu,0.476223,9.05718,0.00273078,100,False,2.628e-08,112.9
100,117,0.971374,64,relu,0.356361,2.67815,2.31396e-05,95,True,1.14445e-06,109.9
101,123,0.971374,64,gelu,0.69987,7.89424,0.000520012,95,True,2.15547e-08,109.5
102,133,0.971374,32,gelu,0.623917,9.39786,0.000516962,95,True,5.91138e-06,136.6
103,134,0.971374,32,gelu,0.32423,9.21797,0.000300393,100,True,3.10439e-08,134.9
104,140,0.971374,32,gelu,0.638073,7.42851,0.000552477,75,False,1.44455e-06,150.7
105,168,0.971374,32,gelu,0.685477,0.449413,0.00410772,70,True,2.16629e-05,161.8
106,172,0.971374,32,gelu,0.659643,0.0883647,0.00391166,75,True,1.04458e-05,156.8
107,180,0.971374,32,gelu,0.656412,0.213769,0.00314311,80,True,1.22476e-05,147.9
108,8,0.969466,64,gelu,0.220049,0.254191,9.52881e-06,20,False,1.37311e-06,107.8
109,19,0.969466,16,gelu,0.341713,1.01111,0.000144442,50,False,2.15613e-07,127.9
110,24,0.969466,64,gelu,0.367705,5.0728,0.00423093,45,False,1.76673e-07,67.5
111,31,0.969466,64,gelu,0.518301,4.49135,0.00164065,35,False,3.34661e-05,87.9
112,32,0.969466,64,gelu,0.464368,2.35148,0.000933117,25,False,8.24319e-07,51.5
113,33,0.969466,64,gelu,0.403364,1.65058,0.000339784,45,False,0.000126276,98.9
114,39,0.969466,16,gelu,0.167469,8.88619,0.00130039,25,True,4.32644e-05,73.8
115,47,0.969466,32,relu,0.0109725,7.37808,1.51021e-05,90,False,2.18103e-06,120.9
116,51,0.969466,64,relu,0.0656164,6.60265,0.000165156,80,False,1.53209e-06,93.4
117,58,0.969466,16,gelu,0.262095,6.35557,0.000233232,80,False,6.77829e-06,170.6
118,61,0.969466,64,gelu,0.469707,4.17311,0.000950481,75,False,1.10543e-06,98.7
119,63,0.969466,64,gelu,0.502448,7.64178,0.00014337,60,False,4.69152e-08,98.9
120,74,0.969466,64,gelu,0.669076,8.02606,0.000518214,95,False,3.19791e-08,97.5
121,82,0.969466,64,gelu,0.670249,9.52414,0.000362037,90,True,2.31712e-08,102.9
122,89,0.969466,64,gelu,0.0433187,9.12814,0.00237848,85,False,1.28523e-06,94.1
123,94,0.969466,64,gelu,0.313052,7.48113,0.00185252,85,True,9.71358e-08,100.2
124,99,0.969466,64,gelu,0.613892,6.52154,0.000671902,80,False,3.53215e-08,102.8
125,105,0.969466,64,gelu,0.558818,6.12725,0.000126075,25,True,1.02697e-08,98.3
126,115,0.969466,64,gelu,0.217376,7.59189,0.00139946,30,False,5.10558e-08,51.2
127,119,0.969466,16,gelu,0.379963,9.86224,1.06185e-05,25,False,4.72415e-08,202.2
128,129,0.969466,32,gelu,0.572074,7.74169,0.00132293,55,False,2.26689e-06,142.6
129,138,0.969466,32,gelu,0.61341,2.21517,0.000402642,75,True,3.50509e-05,153.2
130,139,0.969466,32,relu,0.550807,9.74118,0.000223093,85,False,2.11006e-05,151.0
131,144,0.969466,32,gelu,0.657699,9.99168,0.000354995,80,True,3.96649e-06,153.2
132,146,0.969466,32,gelu,0.424786,8.90944,0.000108546,80,True,5.03132e-06,157.5
133,150,0.969466,32,gelu,0.300936,0.774192,0.000464077,80,True,2.0198e-06,143.6
134,155,0.969466,32,gelu,0.675177,1.02017,0.00234421,80,True,9.62949e-07,153.1
135,171,0.969466,32,gelu,0.643323,0.240255,0.00277973,75,True,6.62277e-06,158.9
136,199,0.969466,32,gelu,0.642296,0.992705,0.00150541,75,True,4.16912e-06,146.7
