rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
89,121,0.971374,32,gelu,0.569051,1.87156,0.00496424,25,True,7.92419e-07,213.7
90,123,0.971374,32,gelu,0.601639,1.57257,0.0019554,50,True,3.50326e-07,268.9
91,128,0.971374,16,gelu,0.278603,6.91207,0.00495897,55,True,2.82793e-06,209.6
92,133,0.971374,32,gelu,0.640531,3.42489,0.00326881,10,True,1.98858e-06,120.4
93,138,0.971374,32,gelu,0.629809,5.6957,0.00211833,25,True,2.5804e-06,313.8
94,143,0.971374,64,gelu,0.643248,4.83509,0.00252626,20,True,2.06316e-05,255.2
95,144,0.971374,64,gelu,0.688258,1.75736,0.00171223,50,True,8.15613e-05,243.5
96,154,0.971374,16,gelu,0.642141,6.78162,0.00276216,25,True,7.49164e-06,301.5
97,161,0.971374,32,gelu,0.629917,6.10901,0.00254798,35,True,2.01208e-05,257.0
98,163,0.971374,32,gelu,0.60413,7.0937,0.00205178,40,True,3.25911e-05,260.8
99,164,0.971374,32,gelu,0.673818,6.43944,0.00298337,30,True,2.5694e-05,230.5
100,172,0.971374,16,gelu,0.642169,5.6488,0.000867465,20,True,5.54183e-06,200.2
101,175,0.971374,16,gelu,0.555933,6.91564,0.00390459,20,True,6.30504e-06,313.6
102,179,0.971374,32,gelu,0.605576,5.89435,0.0016854,65,True,3.57092e-06,348.6
103,180,0.971374,16,gelu,0.574623,4.94882,0.00386463,30,True,1.38837e-05,313.4
104,181,0.971374,16,gelu,0.642834,6.99416,0.00130453,30,True,7.70837e-06,298.3
105,184,0.971374,16,gelu,0.178169,5.76454,4.29853e-05,25,True,8.41081e-06,133.5
106,190,0.971374,32,gelu,0.667052,5.563,0.00253139,50,True,1.89986e-06,252.1
107,195,0.971374,32,gelu,0.616253,5.19374,0.00196324,30,True,7.67136e-06,312.1
108,204,0.971374,16,gelu,0.62941,2.64604,0.00341985,25,True,1.04794e-06,321.6
109,208,0.971374,32,gelu,0.563995,6.97508,0.000605042,15,True,3.24702e-06,113.1
110,210,0.971374,32,gelu,0.580585,6.15615,0.00174351,50,True,4.55752e-06,287.2
111,218,0.971374,16,gelu,0.635773,5.03558,0.00108267,85,True,2.76894e-05,328.9
112,219,0.971374,32,gelu,0.62474,5.75402,0.00404848,80,True,6.62946e-06,323.5
113,15,0.969466,64,gelu,0.551807,3.66822,9.99972e-05,85,False,1.16485e-06,396.0
114,16,0.969466,64,gelu,0.555513,6.0935,0.00107715,90,False,3.82137e-06,391.6
115,18,0.969466,32,gelu,0.482344,3.03646,5.20196e-05,85,False,2.86593e-06,352.5
116,21,0.969466,64,gelu,0.625204,3.90868,0.00495798,95,False,5.78631e-06,302.3
117,22,0.969466,64,gelu,0.629824,4.3129,0.00233012,90,False,1.01693e-06,307.1
118,23,0.969466,64,gelu,0.648913,5.71201,0.00165596,75,False,2.49311e-05,302.7
119,25,0.969466,64,gelu,0.604694,3.62588,0.000131974,90,False,6.69087e-06,308.4
120,29,0.969466,16,relu,0.395861,1.29144,0.000681305,65,True,3.34563e-07,254.5
121,30,0.969466,16,gelu,0.510142,6.41598,2.71798e-05,65,False,0.000237132,398.7
122,39,0.969466,16,relu,0.293977,8.88619,0.00121036,60,False,6.18284e-07,286.0
123,41,0.969466,32,gelu,0.604203,4.2652,0.0029561,80,False,5.50264e-06,336.9
124,48,0.969466,16,relu,0.612891,0.842378,0.000185067,80,False,1.1227e-07,318.4
125,53,0.969466,16,gelu,0.586825,3.16891,0.000122957,75,True,4.41914e-08,353.5
126,58,0.969466,16,gelu,0.567518,4.79746,0.000322227,80,True,8.69248e-07,328.6
127,62,0.969466,32,gelu,0.653831,5.91875,0.00220379,50,True,4.75188e-06,287.9
128,67,0.969466,32,gelu,0.642454,6.28819,0.00120835,50,True,8.91415e-06,333.1
129,75,0.969466,32,gelu,0.610135,7.40673,0.000606933,35,True,1.82814e-06,265.8
130,84,0.969466,32,gelu,0.560041,4.92613,0.00152146,50,True,1.65966e-06,305.7
131,94,0.969466,32,gelu,0.658581,5.40518,0.00183367,35,True,4.51418e-05,311.7
132,101,0.969466,32,gelu,0.623341,5.32831,0.00372079,20,True,4.28419e-06,236.7
133,104,0.969466,32,gelu,0.62286,2.24336,0.00488906,65,True,3.42956e-06,263.0
134,111,0.969466,32,gelu,0.633406,6.53227,0.00288568,25,True,5.07437e-06,269.0
135,114,0.969466,32,gelu,0.622837,5.14688,0.00106996,20,True,3.53996e-06,177.3
136,122,0.969466,32,gelu,0.635475,1.07793,0.00352685,20,True,2.27872e-06,137.2
137,125,0.969466,32,gelu,0.578899,5.25453,0.00283315,15,True,1.20538e-06,155.3
138,127,0.969466,32,gelu,0.550562,5.49938,0.000926598,65,True,4.58374e-07,200.1
139,134,0.969466,32,gelu,0.593222,5.03119,0.00177031,15,True,5.1227e-06,112.8
140,148,0.969466,32,gelu,0.63117,6.29756,0.00123858,55,True,1.70569e-06,260.8
141,152,0.969466,16,gelu,0.665989,7.65101,0.00174444,30,True,4.70258e-06,306.5
142,155,0.969466,16,gelu,0.621701,1.15625,0.00202377,30,True,3.86819e-06,160.7
143,166,0.969466,32,gelu,0.698157,5.88176,0.00236944,60,True,1.69744e-05,252.3
144,168,0.969466,16,gelu,0.586983,5.37505,0.00163665,35,True,2.97444e-06,315.0
145,169,0.969466,16,gelu,0.634155,7.33241,0.00496222,40,True,2.21412e-06,329.0
146,171,0.969466,16,gelu,0.611465,5.01159,0.00116591,20,True,3.72593e-06,152.4
147,177,0.969466,64,gelu,0.633053,6.22056,0.00135593,55,True,6.15212e-07,301.3
148,183,0.969466,16,gelu,0.621102,1.70128,0.000973258,35,True,2.31807e-05,278.2
149,188,0.969466,32,gelu,0.68087,7.57097,0.000227118,15,True,5.86466e-05,170.3
150,189,0.969466,16,gelu,0.604284,2.00751,0.00393447,20,True,4.74285e-06,260.5
151,191,0.969466,32,gelu,0.685686,5.81785,0.00428347,60,True,0.000384657,246.9
152,192,0.969466,32,gelu,0.672762,6.05069,0.00314224,60,True,6.26624e-06,292.4
153,203,0.969466,16,gelu,0.60105,2.30091,0.00498482,60,True,3.86085e-07,341.8
154,213,0.969466,16,gelu,0.604914,5.83283,0.00309174,20,True,1.12716e-06,327.5
155,215,0.969466,16,gelu,0.634248,4.65282,0.000822569,80,True,6.30925e-07,316.9
